Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address,Phone_No,Latitude,Longitude
Tasty Biryani,Street Food,250," Marathahalli, Bangalore",3.8,16.0,4.2,475.0,https://www.zomato.com/bangalore/tasty-biryani-marathahalli-bangalore,"2nd Main Near Mariyamma Temple, Chinnapanahalli, Marathahalli, Bangalore",9.18E+11,12.96779667,77.70427309
New Mumbai Pavbhaji,Street Food,150," Kaggadasapura, Bangalore",3.8,25.0,3.7,210.0,https://www.zomato.com/bangalore/new-mumbai-pavbhaji-kaggadasapura,"302/2, Opposite New City Supermarket, Kaggadasapura, Bangalore",9.19E+11,12.98522327,77.67350681
7 Days Juice And Spice,"Fast Food, Beverages, Juices",150," Jayanagar, Bangalore",3.8,8.0,2.9,75.0,https://www.zomato.com/bangalore/7-days-juice-and-spice-jayanagar-bangalore,"3425, KR Road, 13th Cross, Shashtri Nagar, Jayanagar, Bangalore",9.19E+11,12.93135041,77.57277478
Tiny Treats,"Fast Food, North Indian, Beverages",350," Whitefield, Bangalore",3.8,30.0,3.7,30.0,https://www.zomato.com/bangalore/tiny-treats-whitefield-bangalore,"11, Chinappa Layout, Mahadevapura, Whitefield, Bangalore",9.17E+11,12.98774474,77.68904451
Arabian Corner,"Arabian, Fast Food",250," KR Puram, Bangalore",3.8,25.0,3.8,0.0,https://www.zomato.com/bangalore/arabian-corner-kr-puram-bangalore,"2, Bethal Nagar, Kodigehalli Main Road, Basavanapura KR Puram, Bangalore",9.20E+11,13.00455,77.716353
The Street Kitchen,"Fast Food, Chinese, Beverages",300," New BEL Road, Bangalore",3.8,18.0,3.9,32.0,https://www.zomato.com/bangalore/the-street-kitchen-1-new-bel-road-bangalore,"403, 6th Main, 7th Cross, MSR Nagar, Mathikere, New BEL Road, Bangalore",9.20E+11,13.03412711,77.56413706
Big Paratha House,North Indian,300," HSR, Bangalore",3.8,29.0,3.0,37.0,https://www.zomato.com/bangalore/big-paratha-house-hsr-bangalore,"2064, Siri Iris, 13 Cross, 24 Main Road, Sector 1, Vanganahalli, HSR, Bangalore",9.20E+11,12.91557689,77.64901791
Abi's Cafe & Restaurant,"North Indian, Chinese",350," Yelahanka, Bangalore",3.8,39.0,3.5,50.0,https://www.zomato.com/bangalore/abis-cafe-restaurant-yelahanka-bangalore,"1409, 8th Main Rd, Judicial Layout, Yelahanka, Bangalore",9.20E+11,13.083237,77.588317
Chicken Express,Fast Food,200," Bommanahalli, Bangalore",3.8,19.0,4.4,114.0,https://www.zomato.com/bangalore/chicken-express-bommanahalli-bangalore,"1, 11th Cross, 2nd Main Ropana Agarhara, Bommanahalli, Bangalore",9.19E+11,12.91116252,77.62421016
The Juice Box,"Juices, Beverages, Desserts, Fast Food, Chinese",200," Rammurthy Nagar, Bangalore",3.8,17.0,3.5,309.0,https://www.zomato.com/bangalore/the-juice-box-rammurthy-nagar-bangalore,"31, Gandhiji Road, Bovi Colony, Dooravani Nagar, KR Puram, Rammurthy Nagar, Bangalore",9.20E+11,13.0113509,77.67632481
Babu Tiffin Center,North Indian,300," Kumaraswamy Layout, Bangalore",3.8,31.0,3.9,86.0,https://www.zomato.com/bangalore/babu-tiffin-center-kumaraswamy-layout-bangalore,"210/E, 9th Cross, 3rd Main, Minaj Nagar, JHBCS, Kumaraswamy Layout, Bangalore",9.17E+11,12.91075141,77.56274801
Happieats,"North Indian, Chinese, Biryani",400," KR Puram, Bangalore",3.8,27.0,3.6,372.0,https://www.zomato.com/bangalore/happieats-1-kr-puram-bangalore,"42, Kodigehalli Main Road, Ayyappa Nagar, KR Puram, Bangalore",9.18E+11,13.00419285,77.72101644
Mughal Indian,"Mughlai, Biryani, North Indian",500," BTM, Bangalore",3.8,41.0,4.2,15.0,https://www.zomato.com/bangalore/mughal-indian-btm-bangalore,"39, 1st Floor, 6th Cross Road, 20th Main Road, BTM, Bangalore",9.17E+11,12.918463,77.614143
Mellow Foodies Zone,"Chinese, Fast Food, North Indian, South Indian",500," Whitefield, Bangalore",3.8,7.0,3.6,20.0,https://www.zomato.com/bangalore/mellow-foodies-zone-whitefield-bangalore,"Near Water Wash Station, Kodigehalli, Kadugodi, Whitefield, Bangalore",9.20E+11,13.005434,77.730775
First Bite,"North Indian, Chinese",500," Sarjapur Road, Bangalore",3.8,24.0,3.7,6.0,https://www.zomato.com/bangalore/first-bite-sarjapur-road-bangalore,"House 4, 1st Main Road, Amrita Nagar, Kasavanahalli, Sarjapur Road, Bangalore",9.20E+11,12.894334,77.678026
House Of Tasty Food,"North Indian, Beverages",400," Koramangala 1st Block, Bangalore",3.8,19.0,3.8,252.0,https://www.zomato.com/bangalore/house-of-tasty-food-koramangala-1st-block-bangalore,"307/1, 1st Main Cross, Beside Essar Petrol Bunk, Koramangala 1st Block, Bangalore",9.17E+11,12.92824049,77.63697848
Aahar Family Restaurant,"Andhra, Chinese",400," Hebbal, Bangalore",3.8,21.0,3.9,59.0,https://www.zomato.com/bangalore/aahar-family-restaurant-hebbal,"4, Opposite Esteem Mall, Kempapura Main Road, Hebbal, Bangalore",9.19E+11,13.04949169,77.59714466
Wow Chaats,"Street Food, Sandwich, Beverages",300," Kalyan Nagar, Bangalore",3.8,7.0,3.3,254.0,https://www.zomato.com/bangalore/wow-chaats-kalyan-nagar-bangalore,"31/2, Prakruthi Township, 1st Block, Horamavu Agara Main Road, Kalyan Nagar, Bangalore",9.18E+11,13.030986,77.653263
Shake Wake,"Beverages, Rolls, Sandwich",200," Marathahalli, Bangalore",3.8,30.0,3.9,4.0,https://www.zomato.com/bangalore/shake-wake-marathahalli-bangalore,"117 SY, Street 49/1, 7th Cross Road, Manjunatha Layout, Marathahalli, Bangalore",9.17E+11,12.948353,77.711723
Shabaab Rolls,"Rolls, Burger, Fast Food",250," Yelahanka, Bangalore",3.8,21.0,3.0,18.0,https://www.zomato.com/bangalore/shabaab-rolls-yelahanka-bangalore,"75/707, Ground Floor, HSR Plaza, 1st Main, 4th Phase, New Town, Yelahanka, Bangalore",9.18E+11,13.1036164,77.5756927
GVR Biryani Bistro,"Chinese, North Indian",300," Whitefield, Bangalore",3.8,22.0,3.4,154.0,https://www.zomato.com/bangalore/gvr-biryani-bistro-whitefield-bangalore,"115, Ground Floor, 2nd Cross, AKG Colony, Opposite MVJ College, Mahadevpura, Whitefield, Bangalore",9.19E+11,12.98185298,77.76178066
Mr. Tadka,North Indian,300," CV Raman Nagar, Bangalore",3.8,13.0,3.9,21.0,https://www.zomato.com/bangalore/mr-tadka-cv-raman-nagar,"5th Cross, Nagavarapalya Main Road, Rajana Colony, Near Gopalan Grand Mall, CV Raman Nagar, Bangalore",9.19E+11,12.99277292,77.66342741
Pick Natura,"Beverages, Juices",200," Marathahalli, Bangalore",3.8,18.0,3.8,6.0,https://www.zomato.com/bangalore/pick-natura-marathahalli-bangalore,"269, A Block, AECS Layout, Main Road, Marathahalli, Bangalore",9.20E+11,12.96357535,77.70969585
Whatsup Lassi Park,"Beverages, Fast Food, Desserts",200," BTM, Bangalore",3.8,16.0,4.0,148.0,https://www.zomato.com/bangalore/whatsup-lassi-park-btm-bangalore,"8, Ground Floor, 16th Main, 2nd Stage, Near IAS Colony, BTM, Bangalore",9.20E+11,12.9108501,77.60993075
San-Diego Cream N Crunch,"Desserts, Ice Cream",250," Whitefield, Bangalore",3.8,10.0,3.6,39.0,https://www.zomato.com/bangalore/san-diego-cream-n-crunch-whitefield-bangalore,"194/4, Vasanthraju Building, 5th Cross, ITPL Main Road, Rajapalya, Mahadevapura, Whitefield, Bangalore",9.19E+11,12.99188039,77.72093598
The Samosa Estate,"Street Food, Fast Food, Lebanese",250," Marathahalli, Bangalore",3.8,10.0,4.3,36.0,https://www.zomato.com/bangalore/the-samosa-estate-marathahalli-bangalore,"Shop 2, Survey 92/4, Opposite Home Town, Marathahalli, Bangalore",9.19E+11,12.95323083,77.69996278
Food Decker,"Fast Food, Desserts, Beverages",400," Koramangala 5th Block, Bangalore",3.8,12.0,3.1,16.0,https://www.zomato.com/bangalore/food-decker-koramangala-5th-block-bangalore,"67, Koramangala Industrial Area, Jyoti Nivas College Road, Opposite Salarpuria Ascend, Koramangala 5th Block, Bangalore",9.18E+11,12.93290225,77.61425916
Malli Mane Food Court,South Indian,250," BTM, Bangalore",3.8,8.0,3.8,38.0,https://www.zomato.com/bangalore/malli-mane-food-court-btm-bangalore,"136, 17th Main, 7th Cross, 2nd Stage, BTM, Bangalore",9.19E+11,12.91394521,77.61063684
Frozen Juices N Cafe House,"Fast Food, Beverages",200," Sarjapur Road, Bangalore",3.8,9.0,3.3,110.0,https://www.zomato.com/bangalore/frozen-juices-n-cafe-house-sarjapur-road-bangalore,"65/2, Near Peters School, Sarjapur Road, Bangalore",9.19E+11,12.91304521,77.67971881
Coastal Aroma,"South Indian, Chinese, Mangalorean",350," Whitefield, Bangalore",3.8,12.0,3.2,52.0,https://www.zomato.com/bangalore/coastal-aroma-whitefield-bangalore,"Shop 107, ITPL Back Gate, Pattandur Agrahara, Whitefield, Bangalore",9.20E+11,12.98486879,77.73284264
Food Instinct,"Continental, Healthy Food, North Indian, Biryani",300," Indiranagar, Bangalore",3.8,11.0,3.7,12.0,https://www.zomato.com/bangalore/food-instinct-indiranagar-bangalore,"153, 1st Floor, 9th Cross, 1st Stage, Indiranagar, Bangalore",9.20E+11,12.98236545,77.63904417
The Farmer and The Chef,North Indian,450," Sarjapur Road, Bangalore",3.8,11.0,3.7,43.0,https://www.zomato.com/bangalore/the-farmer-and-the-chef-1-sarjapur-road-bangalore,"187, Kodathi Village, Carmelaram Post, Sarjapur Road, Bangalore",9.20E+11,12.89276934,77.70816351
Belgian Swirls Fusion,"Desserts, Fast Food",300," Sarjapur Road, Bangalore",3.8,14.0,3.9,79.0,https://www.zomato.com/bangalore/belgian-swirls-fusion-sarjapur-road-bangalore,"LG 2, Anjandari Sriharsh Complex, Opposite Ozone Evergreens, Harlur Road, Sarjapur Road, Bangalore",9.18E+11,12.90757424,77.66371205
Kaapi Corner,South Indian,100," Banashankari, Bangalore",3.8,10.0,3.9,0.0,https://www.zomato.com/bangalore/kaapi-corner-banashankari-bangalore,"1 Stage, Girinagar, Banashankari, Bangalore",9.16E+11,12.93869747,77.54896715
Sinclair's Barbeque,"Burger, Sandwich, Beverages, BBQ",500," Banaswadi, Bangalore",3.8,8.0,3.5,8.0,https://www.zomato.com/bangalore/sinclairs-barbeque-banaswadi-bangalore,"341/2BC, 2nd B Cross, 4th Main Road, OMBR Layout, Banaswadi, Bangalore",9.18E+11,13.00628357,77.65136551
Bellandur Kerala Mess,"South Indian, Kerala, Biryani",200," Bellandur, Bangalore",3.8,4.0,3.4,41.0,https://www.zomato.com/bangalore/bellandur-kerala-mess-bellandur-bangalore,"Near BBMP Office, 3rd B Cross Road, Bellandur, Bangalore",9.20E+11,12.9278026,77.67565358
Crunchy Kitchen,Chinese,400," Yelahanka, Bangalore",3.8,10.0,3.6,0.0,https://www.zomato.com/bangalore/crunchy-kitchen-1-yelahanka-bangalore,"19/436A, 11th Cross, 5th Main, Agrahara Layout, Yelahanka, Bangalore",9.19E+11,13.09633664,77.62616951
Hunger Buds,North Indian,250," BTM, Bangalore",3.8,7.0,3.9,12.0,https://www.zomato.com/bangalore/hunger-buds-btm,"Site 39, Old House 8/10, 1st Cross, N.S Palya, Rashtrakavi Kuvempu Nagara, BTM, Bangalore",9.18E+11,12.91511906,77.61554025
Raghavendra Bhavan,"South Indian, North Indian, Chinese",300," Banaswadi, Bangalore",3.8,9.0,4.1,0.0,https://www.zomato.com/bangalore/raghavendra-bhavan-banaswadi,"1, 5th Main, B Chansandra, OMBR Layout, Banaswadi, Bangalore",9.20E+11,13.00863987,77.65588738
Salkara Malabar Kitchen,"North Indian, Chinese",300," BTM, Bangalore",3.8,8.0,3.8,0.0,https://www.zomato.com/bangalore/salkara-malabar-kitchen-btm-bangalore,"1-2, Brindavan Nagar, Tavarekere, Ramappa Layout, 1st Stage, Opposite M.N.P Residency, BTM, Bangalore",9.18E+11,12.92515961,77.61164334
New Indian Biryani Restaurant,"North Indian, Chinese, Biryani",300," Indiranagar, Bangalore",3.8,7.0,3.5,27.0,https://www.zomato.com/bangalore/new-indian-biryani-restaurant-indiranagar-bangalore,"29, 1st Stage, Krishna Temple Road, Indiranagar, Bangalore",9.20E+11,12.97907,77.6417531
Sidhika Food Centre,"North Indian, Chinese",300," KR Puram, Bangalore",3.8,7.0,3.5,24.0,https://www.zomato.com/bangalore/sidhika-food-centre-kr-puram-bangalore,"1st Cross, Bayanna Layout, Near Garden City University, KR Puram, Bangalore",9.19E+11,13.023585,77.707111
Blend Your Shake,"Beverages, Fast Food, Ice Cream",250," Sarjapur Road, Bangalore",3.8,6.0,3.5,39.0,https://www.zomato.com/bangalore/blend-your-shake-sarjapur-road-bangalore,"5, Shop 10, Tulasi Layout, Opposite SJR Verity Apartment, Sarjapur Road, Bangalore",9.19E+11,12.9029171,77.6761386
Shiva's Naram Garam,"Street Food, Chinese, North Indian",250," Banaswadi, Bangalore",3.8,7.0,3.9,0.0,https://www.zomato.com/bangalore/shivas-naram-garam-banaswadi-bangalore,"12, 1st Cross Road, B.Y. Narayana Reddy Layout, Horamavu, Banaswadi, Bangalore",9.16E+11,13.01937276,77.65346166
Soul Konnet,"Street Food, Fast Food",250," Malleshwaram, Bangalore",3.8,4.0,4.0,0.0,https://www.zomato.com/bangalore/soul-konnet-malleshwaram-bangalore,"55/1, 16th Cross, 10th Main Road, Malleshwaram, Bangalore",9.20E+11,13.00666056,77.56397579
Ruchika Biriyani,South Indian,300," Whitefield, Bangalore",3.8,4.0,3.6,5.0,https://www.zomato.com/bangalore/ruchika-biriyani-whitefield-bangalore,"30/A, 1st Floor, Doddanekundi Industrial Area, Hoodi Mahadevpura, Opposite Kia Motors, Whitefield, Bangalore",9.19E+11,12.97782478,77.7086612
Spicy Paradise,"South Indian, North Indian, Chinese",200," Kadubeesanahalli, Bangalore",3.8,5.0,3.9,0.0,https://www.zomato.com/bangalore/spicy-paradise-kadubeesanahalli-bangalore,"1st Floor, HDFC Bank Building, Kadubeesanahalli, Bangalore",9.20E+11,12.94070967,77.69600518
Anamika Bakery,Bakery,200," Sarjapur Road, Bangalore",3.8,4.0,3.8,0.0,https://www.zomato.com/bangalore/anamika-bakery-sarjapur-road-bangalore,"Chikkanayakana Halli Road, Someshwara Layout, Doddakannelli, Sarjapur Road, Bangalore",9.20E+11,12.90687553,77.69560017
Chef Sisters Kitchen,North Indian,200," Whitefield, Bangalore",3.8,5.0,4.1,0.0,https://www.zomato.com/bangalore/chef-sisters-kitchen-whitefield-bangalore,"13, Gunjur-Doddakannelli Road, Gunjur Palya, Whitefield, Bangalore",9.17E+11,12.915238,77.717574
Tree Top,"Continental, Chinese, North Indian, South Indian",1000," Wilson Garden, Bangalore",3.8,105.0,3.9,233.0,https://www.zomato.com/bangalore/tree-top-wilson-garden,"Temple Tree Hotel, 3, 9th Cross, Wilson Garden, Bangalore",9.18E+11,12.94778459,77.5945466
Saara's Cafe - SS Lumina Hotel,"North Indian, South Indian, Chinese, Arabian",800," Koramangala 7th Block, Bangalore",3.8,132.0,3.9,52.0,https://www.zomato.com/bangalore/saaras-cafe-ss-lumina-hotel-koramangala-7th-block-bangalore,"4, 20th Main Road, Koramangala 7th Block, Bangalore",9.18E+11,12.93615915,77.61672344
Coastal King Restaurant,"Seafood, North Indian, Chinese",900," Coastal King, Bangalore, Bangalore",3.8,112.0,3.9,1524.0,https://www.zomato.com/bangalore/coastal-king-restaurant-jalahalli-bangalore,"16/1, SM Road, T Dasarahalli, Near Triveni Indian Oil Petrol, Jalahalli, Bangalore",9.19E+11,13.04379933,77.52083816
Dumont,"Ice Cream, Beverages, Desserts",300," Church Street, Bangalore",3.8,39.0,3.9,70.0,https://www.zomato.com/bangalore/dumont-church-street-bangalore,"13, Museum Road, Ashok Nagar, Church Street, Bangalore",9.16E+11,12.97328821,77.6033362
Garden Bar & Restaurant,"North Indian, Chinese",800," Yelahanka, Bangalore",3.8,5.0,3.9,0.0,https://www.zomato.com/bangalore/garden-bar-restaurant-yelahanka-bangalore,"Opposite Jakkur Aerodrome, NH 7, Airport Road, Yelahanka, Bangalore",9.20E+11,13.08097596,77.59285346
Punjabi Chaap Corner,"North Indian, Chinese, Fast Food",650," Indiranagar, Bangalore",3.8,82.0,4.2,134.0,https://www.zomato.com/bangalore/punjabi-chaap-corner-indiranagar-bangalore,"2023/A, HAL 2nd Stage, Indiranagar, Bangalore",9.20E+11,12.967453,77.641725
Cafe Treat - The Pride Hotel,"North Indian, South Indian, Mughlai, Continental, Chinese, Desserts, Beverages",900," The Pride Hotel, Bangalore",3.8,141.0,3.8,0.0,https://www.zomato.com/bangalore/cafe-treat-the-pride-hotel-richmond-road,"93, Richmond Road, Bangalore",9.20E+11,12.96465552,77.59971052
Bademiyan Kebabs,"Kebab, Hyderabadi, Biryani, Charcoal Chicken",600," Orion Mall, Malleshwaram, Bangalore",3.8,78.0,3.5,156.0,https://www.zomato.com/bangalore/bademiyan-kebabs-malleshwaram,"3rd Floor, Orion Mall, Brigade Gateway, Dr. Rajkumar Road, Malleshwaram, Bangalore",9.18E+11,13.01164719,77.55526766
Pop Inn Restaurant,"North Indian, Odia, Bengali, Chinese, South Indian",250," Whitefield, Bangalore",3.8,140.0,3.6,1370.0,https://www.zomato.com/bangalore/pop-inn-restaurant-whitefield-bangalore,"19, Ground Floor, 3rd Cross, Mahadevapura, Near Inner Circle, Whitefield, Bangalore",9.16E+11,12.9696545,77.7482562
Punjab Kadhai,"North Indian, Chinese",350," Kaggadasapura, Bangalore",3.8,82.0,3.8,1195.0,https://www.zomato.com/bangalore/punjab-kadhai-kaggadasapura-bangalore,"25, 2nd Cross, 6th Main Road, Kamadhenu Nagar, B Narayanpura, Mahadevpura, Kaggadasapura, Bangalore",9.20E+11,12.99562689,77.68635996
Madhuban Restaurant,"North Indian, Chinese, Seafood",450," Marathahalli, Bangalore",3.8,74.0,3.7,2011.0,https://www.zomato.com/bangalore/madhuban-restaurant-marathahalli-bangalore,"Site 34, SGR Dental College Road, Munnekolala, Beside ST Thomas Church, Marathahalli, Bangalore",9.18E+11,12.94847044,77.70434786
Camille's Ice Cream,"Desserts, Beverages, Ice Cream",100," Domlur, Bangalore",3.8,24.0,4.0,422.0,https://www.zomato.com/bangalore/camilles-ice-cream-domlur-bangalore,"277, Amarjyoti Layout, Intermediate Outer Ring Road, Domlur, Bangalore",9.20E+11,12.95631593,77.64129885
Kakal Kai Ruchi,"South Indian, North Indian, Chinese, Fast Food, Street Food, Beverages",500," JP Nagar, Bangalore",3.8,43.0,3.4,22.0,https://www.zomato.com/bangalore/kakal-kai-ruchi-2-jp-nagar,"75/A, 24 Main Road, 5 Phase, JP Nagar, Bangalore",9.18E+11,12.89722512,77.58597795
Grill & The Goat,"North Indian, Mughlai, Chinese, Beverages",600," Indiranagar, Bangalore",3.8,38.0,3.9,19.0,https://www.zomato.com/bangalore/grill-the-goat-indiranagar-bangalore,"9, 8th Cross, 2nd Main Road, 1st Stage, Indiranagar, Bangalore",9.18E+11,12.982293,77.639297
Mangoa,"Goan, Mangalorean, South Indian, Seafood, Portuguese, Konkan",800," BTM, Bangalore",3.8,4.0,3.9,54.0,https://www.zomato.com/bangalore/mangoa-btm-bangalore,"42, Venkateshwara Layout, SG Palya Main Road, Near Christ College, BTM, Bangalore",9.19E+11,12.9353096,77.6076666
Spice House,"Andhra, South Indian, Chinese",600," Banashankari, Bangalore",3.8,11.0,3.5,27.0,https://www.zomato.com/bangalore/spice-house-banashankari-bangalore,"93 & 94, 22nd Main, Banashankari 2nd Stage, Banashankari, Bangalore",9.20E+11,12.92636445,77.5645595
Twilight Global Restaurant,"Beverages, Kebab, Chinese, North Indian, Mughlai, Biryani, Desserts",800," Kalyan Nagar, Bangalore",3.8,114.0,3.4,761.0,https://www.zomato.com/bangalore/twilight-global-restaurant-kalyan-nagar-bangalore,"527, CMR Road, 2nd Block, HBR Layout, Kalyan Nagar, Bangalore",9.18E+11,13.02111972,77.64176153
Brown Burger Co,"Burger, Fast Food, Beverages",500," Rajarajeshwari Nagar, Bangalore",3.8,11.0,4.3,241.0,https://www.zomato.com/bangalore/brown-burger-co-rajarajeshwari-nagar-bangalore,"4, Ground Floor, BEML Layout, 10th Stage, Channasandra, Rajarajeshwari Nagar, Banglore",9.18E+11,12.9056255,77.51256019
Aishwarya Parkland,"Chinese, North Indian",700," Bannerghatta Road, Bangalore",3.8,123.0,3.3,33.0,https://www.zomato.com/bangalore/aishwarya-parkland-bannerghatta-road,"30, Syndicate Bank Colony, Bannerghatta Road, Bangalore",9.20E+11,12.8845057,77.59615861
KA 51 Restocafe,"Chinese, North Indian, Fast Food",600," Bommasandra, Bangalore",3.8,47.0,3.5,138.0,https://www.zomato.com/bangalore/ka-51-restocafe-bommasandra,"169/1, Hulimangala Village, Jigani Hobli, Anekal Taluk, Electronic City, Bengaluru",9.20E+11,12.8305125,77.63955859
Shimla Mirch,"Sandwich, Fast Food, Italian, Biryani, North Indian, South Indian, Pizza",350," BTM, Bangalore",3.8,57.0,3.7,33.0,https://www.zomato.com/bangalore/shimla-mirch-btm-bangalore,"86, 4th Cross, 2nd Main, Brindavan Nagar, S.G. Palya, BTM, Bangalore",9.19E+11,12.9254808,77.6105591
Swadist Pakhal Restaurant,"North Indian, Chinese, Bengali, Biryani",600," Sarjapur Road, Bangalore",3.8,54.0,3.4,365.0,https://www.zomato.com/bangalore/swadist-pakhal-restaurant-1-sarjapur-road-bangalore,"Opposite RGA Tech Park, Sarjapur Road, Bangalore",9.18E+11,12.90262311,77.7059089
The Lakefront Kitchen,"North Indian, Chinese, Mughlai",600," Electronic City, Bangalore",3.8,37.0,3.8,318.0,https://www.zomato.com/bangalore/the-lakefront-kitchen-electronic-city-bangalore,"Sy 132, Rayasandra Main Road, Rayasandra, Bangalore (Near Rayasandra Lake), Electronic City, Bangalore",9.20E+11,12.87463223,77.67864564
Golden Tree Restaurant,"Chinese, Mughlai, Biryani, South Indian, Fast Food, Beverages, Ice Cream",600," BTM, Bangalore",3.8,28.0,3.9,289.0,https://www.zomato.com/bangalore/golden-tree-restaurant-btm-bangalore,"167, 21 Cross Road, 16 Main, 2 Stage, BTM, Bangalore",9.20E+11,12.90620623,77.61129197
Lol Pub,"North Indian, Beverages",800," Kadubeesanahalli, Bangalore",3.8,12.0,2.8,0.0,https://www.zomato.com/bangalore/lol-pub-kadubeesanahalli-bangalore,"36, 1st Cross Road, Kadubeesanahalli, Bangalore",9.20E+11,12.94159944,77.69756455
Ashwa Fine Dine,"North Indian, Chinese, Andhra, Finger Food",400," Vijay Nagar, Bangalore",3.8,19.0,3.8,6.0,https://www.zomato.com/bangalore/ashwa-fine-dine-vijay-nagar-bangalore,"1 & 2, Rbr Arcade, Svg Nagar, Moodalapalya, Vijay Nagar, Bangalore",9.20E+11,12.97131352,77.5249986
Paaro,"North Indian, Street Food, Chinese, South Indian, Beverages, Continental",400," Bannerghatta Road, Bangalore",3.8,9.0,3.9,22.0,https://www.zomato.com/bangalore/paaro-1-bannerghatta-road-bangalore,"77/1A, Pai Layout, Hulimavu Main Road, Bannerghatta Road, Bangalore",9.18E+11,12.88103371,77.5985954
Samavar,"North Indian, South Indian, Chinese, Continental, Italian",1000," Casa de Bengaluru, Koramangala, Bangalore",3.8,10.0,4.4,0.0,https://www.zomato.com/bangalore/samavar-koramangala-6th-block,"Casa de Bengaluru, 873, 17th E Main Road, 6th Block, Koramangala 6th Block, Bangalore",9.17E+11,12.93621732,77.62229908
Happy Belly Restaurant,"Chinese, Thai",700," Yelahanka, Bangalore",3.8,8.0,3.7,8.0,https://www.zomato.com/bangalore/happy-belly-restaurant-yelahanka-bangalore,"2735, E Block, BDA House, Sahakar Nagar, Yelahanka, Bangalore",9.20E+11,13.059427,77.592649
Sri Thirumala Deluxe Family Restaurant,"Andhra, Chinese, North Indian",900," Yelahanka, Bangalore",3.8,6.0,4.1,0.0,https://www.zomato.com/bangalore/sri-thirumala-deluxe-family-restaurant-yelahanka,"34, Allasandra, Near Maruthi Showroom, Yelahanka, Bangalore",9.18E+11,13.09092849,77.59376708
Kadala Teera,"Seafood, Mangalorean",500," Sarjapur Road, Bangalore",3.8,71.0,3.8,1410.0,https://www.zomato.com/bangalore/kadala-teera-sarjapur-road-bangalore,"2, Owners Court, Kasavanahalli, Sarjapur Road, Bengaluru",9.20E+11,12.89807223,77.67535049
Navya's,"Andhra, Biryani, North Indian, Chinese, Hyderabadi, Mughlai, Seafood",700," Bommanahalli, Bangalore",3.8,121.0,3.2,205.0,https://www.zomato.com/bangalore/navyas-1-bommanahalli-bangalore,"11th Main Road, 8th cross, Hongasandra, Bommanahalli, Bangalore",9.18E+11,12.89243915,77.62863312
Gongura Biriyani House,"Andhra, Biryani, Seafood, Chinese",700," Nagawara, Bangalore",3.8,8.0,3.7,222.0,https://www.zomato.com/bangalore/gongura-biriyani-house-nagawara-bangalore,"76/1, Service Road, Opposite Manpho Expo Post, Nagawara, Bangalore",9.20E+11,13.04191143,77.61583798
The Spice Town,"BBQ, North Indian, Beverages",900," Rajarajeshwari Nagar, Bangalore",3.8,94.0,3.7,2.0,https://www.zomato.com/bangalore/the-spice-town-rajarajeshwari-nagar-bangalore,"638, 4th Floor, Rajeshwari Altius, 18th Main, 24th Cross, Rajarajeshwari Nagar, Bangalore",9.16E+11,12.92912605,77.51432005
Crepito,"Pizza, Burger, Sandwich, Fast Food, Chinese, Street Food, Beverages, Desserts",600," Rajajinagar, Bangalore",3.8,66.0,3.8,288.0,https://www.zomato.com/bangalore/crepito-rajajinagar-bangalore,"837/A, Kamalamma Arcade, Dr. Mc Modi Hospital Road, Rajajinagar, Bangalore",9.19E+11,12.99746973,77.54508164
Narthaki Family Restaurant,"North Indian, Mughlai",500," Majestic, Bangalore",3.8,92.0,4.1,0.0,https://www.zomato.com/bangalore/narthaki-family-restaurant-majestic,"22, Near Sangam Theatre, SC Road, Gandhinagar, Majestic, Bangalore",91802873636,12.97708105,77.57564507
Maharaja Biryani House,"Biryani, Andhra, North Indian, Beverages",700," Koramangala 8th Block, Bangalore",3.8,119.0,3.7,1401.0,https://www.zomato.com/bangalore/maharaja-biryani-house-koramangala-8th-block-bangalore,"45, 1st Floor, 80 Feet Road, Koramangala 8th Block, Bangalore",9.19E+11,12.94360475,77.62106996
Shaap,"Kerala, Seafood",500," Indiranagar, Bangalore",3.8,290.0,4.1,1188.0,https://www.zomato.com/bangalore/shaap-indiranagar,"83/4,13th, Main Road, HAL 2nd Stage, Doopanahalli, Indiranagar, Bangalore",9.18E+11,12.96850469,77.64020048
Hotel Prakruthi,South Indian,350," Vijay Nagar, Bangalore",3.8,92.0,4.0,1485.0,https://www.zomato.com/bangalore/hotel-prakruthi-vijay-nagar,"717/60, 6 Main Road, 5 Cross, Near BSVP Collage, Vijay Nagar, Bangalore",9.20E+11,12.97232406,77.54091684
Bogineni Black,"Cafe, Fast Food",500," Whitefield, Bangalore",3.8,63.0,4.0,191.0,https://www.zomato.com/bangalore/bogineni-black-whitefield-bangalore,"87/2A & 87/3, SH - 35, Whitefield - Hosakote Road, Seegehalli, Whitefield, Bangalore",9.20E+11,13.01017718,77.7590666
Udupi Kitchen,"South Indian, Chinese, Street Food, Desserts, Beverages",300," Vijay Nagar, Bangalore",3.8,81.0,3.9,295.0,https://www.zomato.com/bangalore/udupi-kitchen-vijay-nagar,"CHBS Layout, Chord Road, Near Metro Station, Vijay Nagar, Bangalore",9.20E+11,12.971652,77.53774412
